,flux,lambda_obs,lambda_rest
82,1.3812214,3642.8727654050663,3655.0444
83,1.3791517,3642.9328673252276,3655.1047
84,1.3795053,3642.994915866285,3655.167
85,1.3866959,3643.0547744588343,3655.227
86,1.4176481,3643.1148763789956,3655.2874
87,1.4176481,3643.176924920053,3655.3496
88,1.4176481,3643.2367835126024,3655.4097
89,1.4176481,3643.2988320536597,3655.472
90,1.4250332,3643.358933973821,3655.5322
91,1.4250332,3643.4187925663705,3655.5923
92,1.4191157,3643.4808411074278,3655.6545
93,1.4242871,3643.540943027589,3655.7148
94,1.4242871,3643.6029915686463,3655.777
95,1.4386169,3643.662850161196,3655.8372
96,1.4386169,3643.722952081357,3655.8975
97,1.4526548,3643.7850006224144,3655.9597
98,1.4526548,3643.844859214964,3656.0198
99,1.461298,3643.904961135125,3656.08
100,1.4362843,3643.9670096761824,3656.1423
101,1.4362843,3644.026868268732,3656.2024
102,1.4362843,3644.088916809789,3656.2646
103,1.4362843,3644.1490187299505,3656.325
104,1.4265559,3644.2091206501123,3656.3853
105,1.4265559,3644.2711691911695,3656.4475
106,1.4287839,3644.3310277837186,3656.5076
107,1.4374813,3644.3911297038803,3656.5679
108,1.4412246,3644.4531782449376,3656.6301
109,1.4334339,3644.5130368374867,3656.6902
110,1.4334339,3644.575085378544,3656.7524
111,1.4405513,3644.6351872987057,3656.8127
112,1.4405513,3644.695289218867,3656.873
113,1.4441555,3644.757337759924,3656.9353
114,1.4271022,3644.8171963524737,3656.9954
115,1.4271022,3644.877298272635,3657.0557
116,1.4271022,3644.9393468136923,3657.118
117,1.4271022,3644.9994487338536,3657.1782
118,1.4259076,3645.061497274911,3657.2405
119,1.4259076,3645.1213558674604,3657.3005
120,1.4408967,3645.1814577876216,3657.3608
121,1.4408967,3645.243506328679,3657.423
122,1.4396333,3645.30360824884,3657.4834
123,1.4426061,3645.3656567898975,3657.5457
124,1.4426061,3645.425515382447,3657.6057
125,1.4456725,3645.4856173026083,3657.666
126,1.4456725,3645.5476658436655,3657.7283
127,1.4605639,3645.6077677638273,3657.7886
128,1.4947296,3645.6678696839886,3657.8489
129,1.4947296,3645.729918225046,3657.9111
130,1.4947296,3645.7897768175953,3657.9712
131,1.4947296,3645.8518253586526,3658.0334
132,1.5022128,3645.911927278814,3658.0938
133,1.5022128,3645.972029198975,3658.154
134,1.4930613,3646.0340777400324,3658.2163
135,1.4930613,3646.0941796601937,3658.2766
136,1.4923997,3646.1540382527432,3658.3367
137,1.497808,3646.2160867938005,3658.399
138,1.5006019,3646.276188713962,3658.4592
139,1.4982557,3646.338237255019,3658.5215
140,1.4939717,3646.398339175181,3658.5818
141,1.4830304,3646.458441095342,3658.642
142,1.4830304,3646.5204896363994,3658.7043
143,1.4830304,3646.5805915565606,3658.7646
144,1.4830304,3646.640693476722,3658.825
145,1.4830304,3646.702742017779,3658.8872
146,1.4705923,3646.7626006103287,3658.9473
147,1.4786688,3646.824649151386,3659.0095
148,1.4835198,3646.8847510715473,3659.0698
149,1.4835198,3646.9448529917086,3659.1301
150,1.4808973,3647.0069015327663,3659.1924
151,1.4808973,3647.0670034529276,3659.2527
152,1.4854779,3647.129051993985,3659.315
153,1.4797641,3647.189153914146,3659.3752
154,1.484856,3647.2492558343074,3659.4355
155,1.4513948,3647.3113043753647,3659.4978
156,1.4513948,3647.371406295526,3659.558
157,1.4513948,3647.4315082156877,3659.6184
158,1.4513948,3647.493556756745,3659.6807
159,1.4438145,3647.5536586769063,3659.741
160,1.4438145,3647.6157072179635,3659.8032
161,1.4433241,3647.675809138125,3659.8635
162,1.4458625,3647.735911058286,3659.9238
163,1.4458625,3647.7979595993434,3659.986
164,1.4475071,3647.858061519505,3660.0464
165,1.4475071,3647.917920112054,3660.1064
166,1.4460443,3647.9802119807237,3660.169
167,1.449474,3648.040070573273,3660.229
168,1.4738683,3648.102362441942,3660.2915
169,1.4548632,3648.1624643621035,3660.3518
170,1.4548632,3648.222322954653,3660.4119
171,1.4548632,3648.2846148233225,3660.4744
172,1.4548632,3648.344716743484,3660.5347
173,1.4629128,3648.406765284541,3660.597
174,1.4629128,3648.4668672047023,3660.6572
175,1.4605533,3648.5269691248636,3660.7175
176,1.4624354,3648.589017665921,3660.7798
177,1.4642931,3648.6491195860826,3660.84
178,1.4811649,3648.709221506244,3660.9004
179,1.4811649,3648.771270047301,3660.9626
180,1.4856302,3648.8313719674625,3661.023
181,1.4856302,3648.8934205085197,3661.0852
182,1.4689914,3648.953522428681,3661.1455
183,1.5140094,3649.0136243488423,3661.2058
184,1.5140094,3649.0756728899,3661.268
185,1.5140094,3649.1357748100613,3661.3284
186,1.5140094,3649.1958767302226,3661.3887
187,1.5184548,3649.25792527128,3661.451
188,1.5184548,3649.318027191441,3661.5112
189,1.5028127,3649.3803190601107,3661.5737
190,1.5028127,3649.440420980272,3661.634
191,1.5036166,3649.500522900433,3661.6943
192,1.4864615,3649.5625714414905,3661.7566
193,1.4864615,3649.622673361652,3661.817
194,1.4766034,3649.6827752818135,3661.8772
195,1.4766034,3649.744823822871,3661.9395
196,1.4918169,3649.804925743032,3661.9998
197,1.4956619,3649.867217611701,3662.0623
198,1.4956619,3649.927319531863,3662.1226
199,1.4956619,3649.987421452024,3662.1829
200,1.4956619,3650.0494699930814,3662.245
201,1.4900367,3650.1095719132427,3662.3054
202,1.4900367,3650.1716204543,3662.3677
203,1.4872079,3650.2317223744612,3662.428
204,1.4872079,3650.291824294623,3662.4883
205,1.4763439,3650.354116163292,3662.5508
206,1.4775994,3650.4142180834533,3662.611
207,1.4716572,3650.474320003615,3662.6714
208,1.466149,3650.5363685446723,3662.7336
209,1.473598,3650.5964704648336,3662.794
210,1.4285107,3650.6587623335026,3662.8564
211,1.4285107,3650.7188642536644,3662.9167
212,1.4285107,3650.7789661738257,3662.977
213,1.4285107,3650.841014714883,3663.0393
214,1.4285107,3650.901116635044,3663.0996
215,1.4261382,3650.9612185552055,3663.16
216,1.4189833,3651.023510423875,3663.2224
217,1.4226824,3651.0836123440363,3663.2827
218,1.4226824,3651.1456608850935,3663.345
219,1.423403,3651.205762805255,3663.4053
220,1.423403,3651.265864725416,3663.4656
221,1.4200156,3651.3281565940856,3663.528
222,1.4106555,3651.388258514247,3663.5884
223,1.3857603,3651.448360434408,3663.6487
224,1.3806047,3651.5104089754655,3663.711
225,1.3806047,3651.570754223239,3663.7715
226,1.3806047,3651.6328027642962,3663.8337
227,1.3806047,3651.6929046844575,3663.894
228,1.3895237,3651.7530066046193,3663.9543
229,1.3895237,3651.8152984732883,3664.0168
230,1.3859018,3651.8754003934496,3664.0771
231,1.383444,3651.937448934507,3664.1394
232,1.383444,3651.9975508546686,3664.1997
233,1.3784171,3652.0578961024416,3664.2603
234,1.3784171,3652.119944643499,3664.3225
235,1.3785354,3652.1800465636607,3664.3828
236,1.3767728,3652.240148483822,3664.443
237,1.3748668,3652.302440352491,3664.5056
238,1.3457583,3652.3625422726523,3664.566
239,1.3457583,3652.4248341413218,3664.6284
240,1.3457583,3652.484936061483,3664.6887
241,1.3457583,3652.5450379816443,3664.749
242,1.3321478,3652.6070865227016,3664.8113
243,1.3321478,3652.667431770475,3664.8718
244,1.342516,3652.7275336906364,3664.9321
245,1.3388503,3652.7895822316937,3664.9944
246,1.3314271,3652.849927479467,3665.055
247,1.3423591,3652.9119760205244,3665.1172
248,1.3423591,3652.9720779406857,3665.1775
249,1.3473593,3653.0324231884592,3665.238
250,1.3473593,3653.0944717295165,3665.3003
251,1.3737304,3653.154573649678,3665.3606
252,1.4247056,3653.2149188974513,3665.4211
253,1.4247056,3653.2769674385086,3665.4834
254,1.4247056,3653.33706935867,3665.5437
255,1.4247056,3653.3993612273393,3665.6062
256,1.4465808,3653.4594631475006,3665.6665
257,1.4465808,3653.519565067662,3665.7268
258,1.448126,3653.5818569363314,3665.7893
259,1.448126,3653.6419588564927,3665.8496
260,1.4616002,3653.704250725162,3665.912
261,1.4535332,3653.7643526453235,3665.9724
262,1.4535332,3653.8244545654848,3666.0327
263,1.4597596,3653.886746434154,3666.0952
264,1.4597596,3653.9468483543155,3666.1555
265,1.462903,3654.0071936020886,3666.216
266,1.419601,3654.069242143146,3666.2783
267,1.419601,3654.1293440633076,3666.3386
268,1.419601,3654.1916359319766,3666.4011
269,1.419601,3654.251737852138,3666.4614
270,1.415302,3654.3120830999114,3666.522
271,1.415302,3654.3741316409687,3666.5842
272,1.4191056,3654.434476888742,3666.6448
273,1.4191056,3654.4945788089035,3666.705
274,1.4169315,3654.556870677573,3666.7676
275,1.4210675,3654.6169725977343,3666.828
276,1.4245971,3654.6792644664033,3666.8904
277,1.428548,3654.7393663865646,3666.9507
278,1.4266675,3654.7994683067263,3667.011
279,1.434122,3654.8617601753954,3667.0735
280,1.4076756,3654.9218620955567,3667.1338
281,1.4076756,3654.984153964226,3667.1963
282,1.4076756,3655.0442558843874,3667.2566
283,1.4076756,3655.104601132161,3667.3171
284,1.3807023,3655.166649673218,3667.3794
285,1.3868454,3655.2269949209917,3667.44
286,1.3630751,3655.287096841153,3667.5002
287,1.3630751,3655.349388709822,3667.5627
288,1.3663064,3655.409490629984,3667.623
289,1.3663064,3655.471782498653,3667.6855
290,1.3603619,3655.531884418814,3667.7458
291,1.3473413,3655.5922296665876,3667.8064
292,1.3443313,3655.654278207645,3667.8687
293,1.3749268,3655.7146234554184,3667.9292
294,1.3749268,3655.7747253755797,3667.9895
295,1.3749268,3655.8370172442487,3668.052
296,1.3749268,3655.8971191644105,3668.1123
297,1.3772923,3655.9594110330795,3668.1748
298,1.3772923,3656.019756280853,3668.2354
299,1.3690178,3656.0798582010143,3668.2957
300,1.3697366,3656.142150069684,3668.3582
301,1.3697366,3656.202251989845,3668.4185
302,1.3568423,3656.2625972376186,3668.479
303,1.3568423,3656.324645778676,3668.5413
304,1.3469019,3656.384991026449,3668.6018
305,1.3453822,3656.4472828951184,3668.6643
306,1.3274503,3656.5073848152797,3668.7246
307,1.3099513,3656.567730063053,3668.7852
308,1.3099513,3656.6297786041105,3668.8474
309,1.3099513,3656.6901238518835,3668.908
310,1.3099513,3656.752415720553,3668.9705
311,1.3497691,3656.8125176407143,3669.0308
312,1.3497691,3656.872862888488,3669.0913
313,1.3474871,3656.934911429545,3669.1536
314,1.3578176,3656.9952566773186,3669.214
315,1.3464136,3657.05535859748,3669.2744
316,1.3359975,3657.117650466149,3669.337
317,1.3359975,3657.1779957139224,3669.3975
318,1.318577,3657.2400442549797,3669.4597
319,1.318577,3657.300389502753,3669.5203
320,1.3145847,3657.3607347505267,3669.5808
321,1.3172321,3657.422783291584,3669.643
322,1.3172321,3657.483128539357,3669.7036
323,1.3172321,3657.5432304595183,3669.764
324,1.3172321,3657.605522328188,3669.8264
325,1.2931048,3657.6658675759613,3669.887
326,1.2931048,3657.7281594446304,3669.9495
327,1.2855635,3657.7882613647917,3670.0098
328,1.2855635,3657.848606612565,3670.0703
329,1.2854122,3657.9108984812347,3670.1328
330,1.2809874,3657.971000401396,3670.193
331,1.2809874,3658.0313456491695,3670.2537
332,1.2888788,3658.0936375178385,3670.3162
333,1.2888788,3658.153739438,3670.3765
334,1.2846674,3658.2160313066693,3670.439
335,1.2976793,3658.276376554443,3670.4995
336,1.2976793,3658.336478474604,3670.5598
337,1.2976793,3658.398770343273,3670.6223
338,1.2976793,3658.4591155910466,3670.6829
339,1.2793757,3658.5214074597156,3670.7454
340,1.2793757,3658.5815093798774,3670.8057
341,1.297484,3658.6418546276504,3670.8662
342,1.297484,3658.70414649632,3670.9287
343,1.3005207,3658.764248416481,3670.989
344,1.3034033,3658.8245936642547,3671.0496
345,1.3222332,3658.8868855329238,3671.112
346,1.341105,3658.9472307806973,3671.1726
347,1.3408985,3659.0095226493668,3671.235
348,1.3532501,3659.069624569528,3671.2954
349,1.386301,3659.129969817301,3671.356
350,1.386301,3659.1922616859706,3671.4185
351,1.386301,3659.252363606132,3671.4788
352,1.386301,3659.3127088539054,3671.5393
353,1.4002936,3659.3750007225744,3671.6018
354,1.4002936,3659.435345970348,3671.6624
355,1.4144497,3659.4976378390174,3671.7249
356,1.4144497,3659.5577397591787,3671.7852
357,1.4302503,3659.6180850069522,3671.8457
358,1.4302503,3659.6803768756213,3671.9082
359,1.4304572,3659.740722123395,3671.9688
360,1.4347878,3659.800824043556,3672.029
361,1.4339199,3659.8631159122256,3672.0916
362,1.4511665,3659.9234611599986,3672.152
363,1.4511665,3659.985753028668,3672.2146
364,1.4511665,3660.046098276441,3672.2751
365,1.4511665,3660.1064435242147,3672.3357
366,1.4711881,3660.168735392884,3672.3982
367,1.4711881,3660.2288373130455,3672.4585
368,1.4628946,3660.2911291817145,3672.521
369,1.4569905,3660.351474429488,3672.5815
370,1.4569905,3660.4118196772615,3672.642
371,1.475494,3660.4741115459306,3672.7046
372,1.475494,3660.534456793704,3672.7651
373,1.4785049,3660.5945587138654,3672.8254
374,1.4861625,3660.656850582535,3672.888
375,1.460352,3660.717195830308,3672.9485
376,1.4429144,3660.7794876989774,3673.011
377,1.4429144,3660.839832946751,3673.0715
378,1.4429144,3660.900178194524,3673.132
379,1.4429144,3660.9624700631935,3673.1946
380,1.4422798,3661.0225719833547,3673.255
381,1.4422798,3661.0829172311282,3673.3154
382,1.4459623,3661.1452090997973,3673.378
383,1.4503404,3661.205554347571,3673.4385
384,1.4446552,3661.2678462162403,3673.501
385,1.444939,3661.3281914640133,3673.5615
386,1.444939,3661.388536711787,3673.622
387,1.4330219,3661.450828580456,3673.6846
388,1.4330219,3661.5111738282294,3673.745
389,1.4650826,3661.573465696899,3673.8076
390,1.4931561,3661.633810944672,3673.8682
391,1.4931561,3661.6941561924455,3673.9287
392,1.4931561,3661.756448061115,3673.9912
393,1.4931561,3661.8165499812762,3674.0515
394,1.4801117,3661.8768952290498,3674.112
395,1.4801117,3661.939187097719,3674.1746
396,1.4912988,3661.9995323454923,3674.235
397,1.4912988,3662.0618242141613,3674.2976
398,1.4842253,3662.122169461935,3674.3582
399,1.4803367,3662.1825147097084,3674.4187
400,1.4803367,3662.2448065783774,3674.4812
401,1.4764738,3662.305151826151,3674.5417
402,1.4764738,3662.3654970739244,3674.6023
403,1.5141165,3662.4277889425935,3674.6648
404,1.4594082,3662.488134190367,3674.7253
405,1.4594082,3662.550426059036,3674.7878
406,1.4594082,3662.6107713068095,3674.8484
407,1.4594082,3662.671116554583,3674.909
408,1.4640404,3662.733408423252,3674.9714
409,1.4640404,3662.7937536710256,3675.032
410,1.4500735,3662.854098918799,3675.0925
411,1.4500735,3662.916390787468,3675.155
412,1.4651754,3662.9767360352416,3675.2156
413,1.4657701,3663.0390279039107,3675.278
414,1.4657701,3663.099373151684,3675.3386
415,1.4703691,3663.1597183994577,3675.3992
416,1.4791307,3663.2220102681267,3675.4617
417,1.4170444,3663.2823555159002,3675.5222
418,1.4217712,3663.3448907121815,3675.585
419,1.4217712,3663.404992632343,3675.6453
420,1.4217712,3663.4653378801163,3675.7058
421,1.4217712,3663.5278730763976,3675.7686
422,1.4258809,3663.588218324171,3675.829
423,1.4258809,3663.648563571944,3675.8896
424,1.4096102,3663.7108554406136,3675.9521
425,1.4096102,3663.771200688387,3676.0127
426,1.4016523,3663.833492557056,3676.0752
427,1.4016523,3663.8938378048297,3676.1357
428,1.392153,3663.9541830526027,3676.1963
429,1.3866127,3664.016474921272,3676.2588
430,1.3680114,3664.0768201690457,3676.3193
431,1.4116689,3664.137165416819,3676.38
432,1.4116689,3664.1997006131,3676.4426
433,1.4116689,3664.2600458608736,3676.5032
434,1.4116689,3664.322337729543,3676.5657
435,1.4121143,3664.382682977316,3676.6262
436,1.4121143,3664.4430282250896,3676.6868
437,1.4041026,3664.505320093759,3676.7493
438,1.3993468,3664.565665341532,3676.8098
439,1.3993468,3664.6260105893057,3676.8704
440,1.3939961,3664.688545785587,3676.933
441,1.3939961,3664.7488910333605,3676.9937
442,1.3855325,3664.8111829020295,3677.0562
443,1.3753961,3664.871528149803,3677.1167
444,1.3195329,3664.9318733975765,3677.1772
445,1.3217915,3664.9941652662455,3677.2397
446,1.3217915,3665.054510514019,3677.3003
447,1.3217915,3665.1170457103003,3677.363
448,1.3217915,3665.1773909580734,3677.4236
449,1.3128927,3665.237736205847,3677.4841
450,1.3128927,3665.3000280745164,3677.5466
451,1.3065882,3665.3603733222894,3677.6072
452,1.2981867,3665.420718570063,3677.6677
453,1.2967871,3665.483253766344,3677.7305
454,1.2901112,3665.5435990141177,3677.791
455,1.2901112,3665.6058908827868,3677.8535
456,1.2776551,3665.6662361305603,3677.914
457,1.2776551,3665.726581378334,3677.9746
458,1.3035066,3665.789116574615,3678.0374
459,1.2923223,3665.849461822388,3678.098
460,1.2923223,3665.9098070701616,3678.1584
461,1.2923223,3665.972098938831,3678.221
462,1.2923223,3666.0326875142164,3678.2817
463,1.2887816,3666.0949793828854,3678.3442
464,1.2887816,3666.155324630659,3678.4048
465,1.2867435,3666.2156698784324,3678.4653
466,1.2867435,3666.2782050747137,3678.528
467,1.2775198,3666.3385503224868,3678.5886
468,1.2742001,3666.3988955702603,3678.6492
469,1.2742001,3666.4611874389298,3678.7117
470,1.2726548,3666.521776014315,3678.7725
471,1.2726548,3666.584067882984,3678.835
472,1.2400638,3666.6444131307576,3678.8955
473,1.2056372,3666.704758378531,3678.956
474,1.2056372,3666.7672935748124,3679.0188
475,1.2056372,3666.8276388225854,3679.0793
476,1.2056372,3666.889930691255,3679.1418
477,1.2251388,3666.95051926664,3679.2026
478,1.2251388,3667.0108645144137,3679.2632
479,1.218758,3667.0731563830827,3679.3257
480,1.218758,3667.1337449584685,3679.3865
481,1.2115333,3667.1940902062415,3679.447
482,1.2122669,3667.256382074911,3679.5095
483,1.2122669,3667.316727322684,3679.57
484,1.2043252,3667.3792625189653,3679.6328
485,1.2043252,3667.439607766739,3679.6934
486,1.1785139,3667.4999530145124,3679.754
487,1.1820142,3667.5624882107936,3679.8167
488,1.1820142,3667.622833458567,3679.8772
489,1.1820142,3667.68317870634,3679.9377
490,1.1820142,3667.7457139026214,3680.0005
491,1.1659718,3667.806059150395,3680.061
492,1.1659718,3667.868594346676,3680.1238
493,1.1742166,3667.9289395944497,3680.1843
494,1.1742166,3667.989284842223,3680.2449
495,1.1791631,3668.051820038504,3680.3076
496,1.1776652,3668.1121652862776,3680.3682
497,1.1854993,3668.174700482559,3680.431
498,1.1840476,3668.2350457303323,3680.4915
499,1.1886616,3668.2953909781054,3680.552
500,1.2515008,3668.3579261743866,3680.6147
501,1.2515008,3668.41827142216,3680.6753
502,1.2515008,3668.4786166699337,3680.7358
503,1.2515008,3668.541151866215,3680.7986
504,1.2516532,3668.6014971139884,3680.8591
505,1.2516532,3668.6640323102697,3680.9219
506,1.2447716,3668.7243775580428,3680.9824
507,1.2348534,3668.7847228058163,3681.043
508,1.2348534,3668.8472580020975,3681.1057
509,1.2346964,3668.907603249871,3681.1663
510,1.2346964,3668.9681918252563,3681.227
511,1.2348982,3669.0304836939254,3681.2896
512,1.2482626,3669.091072269311,3681.3503
513,1.2537369,3669.15336413798,3681.4128
514,1.247498,3669.2139527133654,3681.4736
515,1.247498,3669.274297961139,3681.5342
516,1.247498,3669.33683315742,3681.597
517,1.247498,3669.3971784051937,3681.6575
518,1.2364916,3669.4575236529668,3681.718
519,1.2364916,3669.520058849248,3681.7808
520,1.233949,3669.5804040970215,3681.8413
521,1.260558,3669.642939293303,3681.904
522,1.260558,3669.7032845410763,3681.9646
523,1.2659535,3669.7638731164616,3682.0254
524,1.2659535,3669.8261649851306,3682.088
525,1.2807635,3669.8867535605164,3682.1487
526,1.2807635,3669.9490454291854,3682.2112
527,1.2957929,3670.0096340045707,3682.272
528,1.2879851,3670.069979252344,3682.3325
529,1.2879851,3670.1325144486254,3682.3953
530,1.2879851,3670.192859696399,3682.4558
531,1.2879851,3670.2534482717842,3682.5166
532,1.2943051,3670.3157401404533,3682.579
533,1.2943051,3670.376328715839,3682.64
534,1.3087152,3670.4388639121203,3682.7026
535,1.3087152,3670.4992091598933,3682.7632
536,1.3126969,3670.559554407667,3682.8237
537,1.3138776,3670.622089603948,3682.8865
538,1.3138776,3670.6826781793334,3682.9473
539,1.3214498,3670.743023427107,3683.0078
540,1.3214498,3670.805558623388,3683.0706
541,1.3172156,3670.8659038711617,3683.131
542,1.3160886,3670.928439067443,3683.1938
543,1.3160886,3670.988784315216,3683.2544
544,1.3160886,3671.0493728906013,3683.3152
545,1.3160886,3671.111908086883,3683.378
546,1.3510764,3671.172253334656,3683.4385
547,1.3510764,3671.2328419100413,3683.4993
548,1.3228996,3671.295133778711,3683.5618
549,1.3228996,3671.355722354096,3683.6226
550,1.3236012,3671.4182575503773,3683.6853
551,1.323921,3671.478602798151,3683.7458
552,1.323921,3671.539191373536,3683.8066
553,1.3258696,3671.6014832422056,3683.8691
554,1.3258696,3671.662071817591,3683.93
555,1.3513238,3671.724607013872,3683.9927
556,1.3423222,3671.7849522616452,3684.0532
557,1.3423222,3671.845540837031,3684.114
558,1.3423222,3671.908076033312,3684.1768
559,1.3423222,3671.9684212810853,3684.2373
560,1.3466225,3672.0290098564706,3684.298
561,1.3466225,3672.09130172514,3684.3606
562,1.3478563,3672.1518903005253,3684.4214
563,1.3478563,3672.2144254968066,3684.4841
564,1.3479011,3672.27477074458,3684.5447
565,1.3452264,3672.3353593199654,3684.6055
566,1.3375616,3672.3978945162467,3684.6682
567,1.3317015,3672.45823976402,3684.7288
568,1.3328099,3672.5188283394054,3684.7896
569,1.3391228,3672.5813635356867,3684.8523
570,1.3391228,3672.64170878346,3684.9128
571,1.3391228,3672.7042439797415,3684.9756
572,1.3391228,3672.7648325551268,3685.0364
573,1.2939495,3672.8251778029,3685.097
574,1.2939495,3672.8877129991815,3685.1597
575,1.2956481,3672.948301574567,3685.2205
576,1.2925894,3673.00864682234,3685.281
577,1.2925894,3673.071182018621,3685.3438
578,1.2912649,3673.131770594007,3685.4045
579,1.2912649,3673.194305790288,3685.4673
580,1.2860006,3673.2548943656734,3685.528
581,1.2739463,3673.3152396134465,3685.5886
582,1.261948,3673.3777748097277,3685.6514
583,1.2206005,3673.4383633851135,3685.7122
584,1.2206005,3673.5008985813947,3685.775
585,1.2206005,3673.561243829168,3685.8354
586,1.2206005,3673.6218324045535,3685.8962
587,1.2181925,3673.684367600835,3685.959
588,1.2181925,3673.744712848608,3686.0195
589,1.2169808,3673.805301423993,3686.0803
590,1.2064049,3673.8678366202744,3686.143
591,1.2064049,3673.92842519566,3686.2039
592,1.1980238,3673.9909603919414,3686.2666
593,1.1980238,3674.0513056397144,3686.3271
594,1.1953034,3674.1118942150997,3686.388
595,1.1871998,3674.174429411381,3686.4507
596,1.1881056,3674.2350179867667,3686.5115
597,1.1786381,3674.2953632345398,3686.572
598,1.1786381,3674.357898430821,3686.6348
599,1.1786381,3674.4184870062068,3686.6956
600,1.1786381,3674.481022202488,3686.7583
601,1.1853977,3674.5416107778733,3686.819
602,1.1853977,3674.6019560256464,3686.8796
603,1.1825083,3674.6644912219276,3686.9424
604,1.1800575,3674.7250797973134,3687.0032
605,1.1698294,3674.7876149935946,3687.066
606,1.1673547,3674.84820356898,3687.1267
607,1.1673547,3674.908792144365,3687.1875
608,1.1482745,3674.9713273406464,3687.2502
609,1.1482745,3675.03167258842,3687.3108
610,1.0971184,3675.0922611638052,3687.3716
611,1.0980986,3675.1547963600865,3687.4343
612,1.0980986,3675.215384935472,3687.495
613,1.0980986,3675.277920131753,3687.5579
614,1.0980986,3675.3385087071383,3687.6187
615,1.0898303,3675.3990972825236,3687.6794
616,1.0898303,3675.461632478805,3687.7422
617,1.0898707,3675.5219777265784,3687.8027
618,1.0898707,3675.5825663019637,3687.8635
619,1.0847552,3675.645101498245,3687.9263
620,1.0844923,3675.70569007363,3687.987
621,1.0844923,3675.7682252699115,3688.0498
622,1.0880157,3675.828813845297,3688.1106
623,1.0880157,3675.8894024206825,3688.1714
624,1.1459978,3675.9519376169637,3688.2341
625,1.1521522,3676.012526192349,3688.295
626,1.1521522,3676.0728714401225,3688.3555
627,1.1521522,3676.135406636404,3688.4182
